,topic,query,rank,wid,batch,duration,EndDate,query_mean
37081445700,213,carpal tunnel syndrome wiki,2,A3S2R1NK6HZ9KP,red,183,2022-02-14 14:58:34,2.8777777777777778
39733485144,213,carpal tunnel syndrome wiki,3,AKZ1KRMTFUPRB,red,343,2022-02-12 12:23:23,2.8777777777777778
40083393601,213,carpal tunnel syndrome wiki,3,A2NAKIXS3DVGAA,red,120,2022-02-09 11:44:54,2.8777777777777778
40976939934,213,carpal tunnel syndrome wiki,3,A3DCXIXXYOO8QL,red,319,2022-02-12 10:53:10,2.8777777777777778
41064146072,213,carpal tunnel syndrome wiki,2,A16335MOISDG1F,red,310,2022-02-12 01:15:45,2.8777777777777778
41428627809,213,carpal tunnel syndrome wiki,1,A2FE0I7W269C1C,red,343,2022-02-13 05:38:51,2.8777777777777778
42224564114,213,carpal tunnel syndrome wiki,2,AJH2N4RI8WA6U,red,271,2022-02-14 14:23:15,2.8777777777777778
42981397919,213,carpal tunnel syndrome wiki,2,A5T9IFDZ3W4T6,red,322,2022-02-14 15:09:01,2.8777777777777778
44042154022,213,carpal tunnel syndrome wiki,3,A173A97OFDAX9F,red,233,2022-02-12 13:32:31,2.8777777777777778
45437107437,213,carpal tunnel syndrome wiki,4,A110ICG2VQUGXS,red,169,2022-02-14 14:30:23,2.8777777777777778
47788836492,213,carpal tunnel syndrome wiki,2,A3RCX3IQ8L6HHW,red,416,2022-02-14 14:36:53,2.8777777777777778
47883414346,213,carpal tunnel syndrome wiki,3,A33LYSCQQU1YDJ,red,498,2022-02-10 01:39:18,2.8777777777777778
47942251241,213,carpal tunnel syndrome wiki,4,A12HWPFXQPITHD,red,158,2022-02-14 14:49:00,2.8777777777777778
48006221780,213,carpal tunnel syndrome wiki,1,A132MSWBBVTOES,red,144,2022-02-09 15:00:57,2.8777777777777778
48743136872,213,carpal tunnel syndrome wiki,3,A1HK32MD7F0B7F,red,180,2022-02-14 14:11:12,2.8777777777777778
48775020688,213,carpal tunnel syndrome wiki,2,AH56J7I291XL7,red,246,2022-02-14 10:15:50,2.8777777777777778
50754168720,213,carpal tunnel syndrome wiki,1,A2M03MZWZDXKAJ,red,498,2022-02-14 14:32:44,2.8777777777777778
51903715748,213,carpal tunnel syndrome wiki,2,AIOOOO5OXWXKM,red,350,2022-02-14 14:43:04,2.8777777777777778
52830093409,213,carpal tunnel syndrome wiki,3,A36UD0YBRIWTVL,red,278,2022-02-09 12:11:57,2.8777777777777778
53825209026,213,carpal tunnel syndrome wiki,4,A1NM9PXZDCCQ1E,red,296,2022-02-12 17:10:29,2.8777777777777778
53929812579,213,carpal tunnel syndrome wiki,3,A2VFEDAK5C1E1O,red,177,2022-02-10 01:59:44,2.8777777777777778
55585047286,213,carpal tunnel syndrome wiki,3,A1JI19KPIVNL3Y,red,340,2022-02-14 00:11:16,2.8777777777777778
57343971708,213,carpal tunnel syndrome wiki,5,A18HAAGXN14547,red,154,2022-02-12 14:46:41,2.8777777777777778
57883484137,213,carpal tunnel syndrome wiki,3,A207IHY6GERCFO,red,366,2022-02-14 15:04:17,2.8777777777777778
