rid,topic,query,rate,wid,batch,duration,query_mean
819046582235,213,carpal tunnel syndrome wiki,5.0,A20DUVEOH6A7KW,red,645,3.7945205479452055
867447125213,213,carpal tunnel syndrome wiki,5.0,A1KZ0KE93WNN5O,red,205,3.7945205479452055
878803006000,213,carpal tunnel syndrome wiki,4.0,A2LR1HKNOVDTJ8,red,498,3.7945205479452055
887431879644,213,carpal tunnel syndrome wiki,5.0,A2FUPODRRCESB,red,146,3.7945205479452055
905741951405,213,carpal tunnel syndrome wiki,4.0,A2NHP55T9ZX86Q,red,162,3.7945205479452055
927907855575,213,carpal tunnel syndrome wiki,3.0,A1FVXS8IM5QYO8,red,396,3.7945205479452055
931347306468,213,carpal tunnel syndrome wiki,4.0,A1OWM3QO7QAKBN,red,219,3.7945205479452055
938165669329,213,carpal tunnel syndrome wiki,3.0,A2BUHMLNE3LUU0,red,287,3.7945205479452055
942621998884,213,carpal tunnel syndrome wiki,4.0,ALYR5CI2SM2JC,red,144,3.7945205479452055
942842658772,213,carpal tunnel syndrome wiki,5.0,A1Z3O9QS22DM8R,red,482,3.7945205479452055
951910395454,213,carpal tunnel syndrome wiki,4.0,A3B01L2TR8ZH4O,red,135,3.7945205479452055
954086482943,213,carpal tunnel syndrome wiki,3.0,APVZGZM1RA3AZ,red,341,3.7945205479452055
959614476538,213,carpal tunnel syndrome wiki,5.0,A2YTQDLACTLIBA,red,136,3.7945205479452055
971344247204,213,carpal tunnel syndrome wiki,5.0,ACKG8OU1KHKO2,red,266,3.7945205479452055
988373623881,213,carpal tunnel syndrome wiki,2.0,A324M5ZRHX7RUV,red,151,3.7945205479452055
988950577517,213,carpal tunnel syndrome wiki,2.0,A3HQXCWOIQKT4F,red,326,3.7945205479452055
116076109744,213,carpal tunnel,4.0,A1DMXEJGJY02E1,red,119,3.3972602739726026
119309254968,213,carpal tunnel,3.0,A13WTEQ06V3B6D,red,195,3.3972602739726026
128320171358,213,carpal tunnel,5.0,A27O7H19C0WQ7T,red,194,3.3972602739726026
141580570582,213,carpal tunnel,1.0,A1QEQOI98976S0,red,182,3.3972602739726026
173628813400,213,carpal tunnel,3.0,A3N770LD28YDL1,red,698,3.3972602739726026
184421828016,213,carpal tunnel,3.0,A110KENBXU7SUJ,red,202,3.3972602739726026
189923704648,213,carpal tunnel,2.0,AZ69TBTDH7AZS,red,204,3.3972602739726026
190305459895,213,carpal tunnel,4.0,A2VO8C41JJIQY9,red,216,3.3972602739726026
194448169227,213,carpal tunnel,4.0,A1X1SOI48T1C6E,red,204,3.3972602739726026
201123755378,213,carpal tunnel,4.0,A1Q6VY3C3CEOA0,red,580,3.3972602739726026
211885713576,213,carpal tunnel,4.0,A13GUTDMGGZZDL,red,242,3.3972602739726026
265427616843,213,carpal tunnel,5.0,A2A6FH0F7LD9ND,red,316,3.3972602739726026
275083848834,213,carpal tunnel,4.0,A5WWHKD82I8UE,red,194,3.3972602739726026
276433286000,213,carpal tunnel,3.0,A1SWV4X4PD25S1,red,184,3.3972602739726026
309528383682,213,carpal tunnel,3.0,A1I8VAUT4V90YR,red,207,3.3972602739726026
317757184267,213,carpal tunnel,3.0,A3RHJEMZ4EGY2U,red,420,3.3972602739726026
322365612466,213,carpal tunnel,3.0,AX8NXTT8QMGHC,red,198,3.3972602739726026
380028901086,213,carpal tunnel,5.0,AT0COJ1G23ZB0,red,116,3.3972602739726026
381111854501,213,carpal tunnel,3.0,A1YH2I4Y2SYAXJ,red,284,3.3972602739726026
382116238889,213,carpal tunnel,4.0,A2R75YFKVALBXE,red,306,3.3972602739726026
418493978609,213,carpal tunnel,5.0,A1EN3FW93BSXQQ,red,134,3.3972602739726026
419131372892,213,carpal tunnel,1.0,A1Q56N80RJLQ7S,red,198,3.3972602739726026
432526610116,213,carpal tunnel,2.0,AGZ0KJNGENZ1J,red,295,3.3972602739726026
458510000118,213,carpal tunnel,5.0,A3AJR1PM02424Y,red,192,3.3972602739726026
488226930354,213,carpal tunnel,2.0,A39S4DA571UJ1Y,red,188,3.3972602739726026
490424392744,213,carpal tunnel,3.0,A2OVX9UW5WANQE,red,164,3.3972602739726026
493578315572,213,carpal tunnel,2.0,A2NEFRREWF33YP,red,201,3.3972602739726026
505616888962,213,carpal tunnel,4.0,A314XJY8V1YL12,red,297,3.3972602739726026
506562046403,213,carpal tunnel,3.0,AXY0D2AMLKE2A,red,541,3.3972602739726026
569535048143,213,carpal tunnel,3.0,A23RL1X2KB6Q34,red,274,3.3972602739726026
570338244223,213,carpal tunnel,3.0,A27VK38SRSSHV3,red,179,3.3972602739726026
574492564378,213,carpal tunnel,4.0,A3MNL6RIME0845,red,324,3.3972602739726026
585730107151,213,carpal tunnel,4.0,A2KE139TQ886T3,red,206,3.3972602739726026
597752541396,213,carpal tunnel,3.0,AEQI66Y2JSY05,red,572,3.3972602739726026
612159188510,213,carpal tunnel,5.0,A2S5GPVIUV8RJI,red,173,3.3972602739726026
617820806615,213,carpal tunnel,3.0,AIEKCWYZTS41V,red,222,3.3972602739726026
619234352558,213,carpal tunnel,3.0,A9HQ3E0F2AGVO,red,163,3.3972602739726026
625604760111,213,carpal tunnel,3.0,A3TBG0S2IEBVHU,red,166,3.3972602739726026
639329347037,213,carpal tunnel,4.0,A3LVLZS8S41ZD7,red,338,3.3972602739726026
650935897859,213,carpal tunnel,5.0,A28AXX4NCWPH1F,red,199,3.3972602739726026
669006662722,213,carpal tunnel,3.0,ALJ70B2J04YR7,red,184,3.3972602739726026
676019776589,213,carpal tunnel,5.0,A34EHWOYRBL6OZ,red,219,3.3972602739726026
679304572986,213,carpal tunnel,2.0,A2JP9IKRHNLRPI,red,106,3.3972602739726026
683046185830,213,carpal tunnel,3.0,A107RJSS561Y7R,red,186,3.3972602739726026
690392653224,213,carpal tunnel,4.0,A3APKUC67F9IMW,red,804,3.3972602739726026
695835081627,213,carpal tunnel,4.0,A3G8OON0TDPN1E,red,191,3.3972602739726026
711289959284,213,carpal tunnel,2.0,A3EYRDEQ7CXUMN,red,174,3.3972602739726026
716514250123,213,carpal tunnel,3.0,A2FNQQTVE32XD9,red,178,3.3972602739726026
751343194767,213,carpal tunnel,4.0,ADCXF6QY5T046,red,306,3.3972602739726026
751472408929,213,carpal tunnel,3.0,A292TFDMNVS0TP,red,750,3.3972602739726026
753089417400,213,carpal tunnel,4.0,A1G187YBG0DVMQ,red,126,3.3972602739726026
755804346222,213,carpal tunnel,2.0,A2ZZW6KME1FUDU,red,273,3.3972602739726026
766419729660,213,carpal tunnel,5.0,A2VUF0V7HT51Q3,red,283,3.3972602739726026
790853952011,213,carpal tunnel,3.0,A1VVR9MA1P9HWJ,red,249,3.3972602739726026
797340451437,213,carpal tunnel,4.0,AGB7LZLNYF6YF,red,146,3.3972602739726026
800316371768,213,carpal tunnel,4.0,A1H198MRIM37T1,red,354,3.3972602739726026
802334465831,213,carpal tunnel,2.0,A5P12YJP805RG,red,136,3.3972602739726026
819046582235,213,carpal tunnel,4.0,A20DUVEOH6A7KW,red,645,3.3972602739726026
